source,clue,answer,definition,annotation,clue_number,puzzle_date,puzzle_name,puzzle_url,source_url,is_reviewed,datetime_reviewed
cru_cryptics,"Countrymen enduring Latin, then Saxon chiefs (5)",CELTS,,"initial letters, &lit.",T,,Acrostic,,cru-cryptics/Cryptic225.pdf,1,2021-10-23 23:58:00
cru_cryptics,Yet our side has interrupted something ghastly halfway through (7,HOWEVER ,,HO(WE’VE)Rror,U,,Acrostic,,cru-cryptics/Cryptic225.pdf,1,2021-10-23 23:58:00
cru_cryptics,"Upon reflection, scientific lens scratched line for analysis of figures (9)",ECONOMICS ,,"SCI + MONOClE, rev.",V,,Acrostic,,cru-cryptics/Cryptic225.pdf,1,2021-10-23 23:58:00
cru_cryptics,"Bent out of shape, it's a lever that's flexible (9)",VERSATILE,,IT’S A LEVER*,W,,Acrostic,,cru-cryptics/Cryptic225.pdf,1,2021-10-23 23:58:00
cru_cryptics,Cries when the last is first to clean up (5),SWEEP ,,WEEPS with the last letter first,A,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Diabolical markers involving almost nothing square (10),INIQUITOUS,,I(NIl+QUIT)OUS,B,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,"Besotted over Zeus, vacuous naiad interrupting assignation (10)",RENDEZVOUS ,,"RE(N...D)EZVOUS, OVER ZEUS*",C,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,"Silver-tongued serf decapitated, enthralling heartless monarch (9) ",ELOQUENT ,,hELO(QUeEN)T,D,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,"Least experienced performer, awestruck in part (6)",RAWEST ,,...R AWEST... hidden,E,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Providing protection without artillery at first is derisory (9),INSULTING,,INSULaTING,F,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Fresh life force indispensable for the listener (6),CHEEKY,,“QI KEY”,G,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Desire unfulfilled as objection smothers hot application for growing building (10),GREENHOUSE,,,H,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,"Balance test maintaining scales, pivotally clutched by electrical engineer (8)",EQUALIZE ,,E(QU(...AL...)IZ)E,I,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,They come out for a five-time presidential candidate (4),DEBS ,,double definition,J,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Body deployed to overwhelm once unbroken German hussars' fronts? (8),DOUGHBOY ,,"D(OUGH)BOY, initial letters, BODY*, &lit.",K,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Lunatic then restricted by one put in a high chair? (8),ENTHRONE ,,THEN* + R + ONE,L,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,What's ruddy-skinned? Wrong! (7),SWARTHY ,,"WHATS R...Y*, &lit.",M,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Revolutionary antagonism repulsed fast runner (7),CHEETAH ,,CHE + HATE rev.,N,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,"Absent passion, attitude that hasn't yeastiness primarily (6)",APATHY ,,"initial letters, &lit.",O,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Rewritten home page features new promotional tool (9),MEGAPHONE ,,"MEGAPHO(N)E, HOME PAGE*",P,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Reportedly sunbathe in tight-fitting bodice (6),BASQUE ,,“BASK”,Q,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Versifier's endless song penned by one taking it easy (9),RHYMESTER ,,R(HYMn)ESTER,R,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Partially bring up misstatements on redirect (6),IMPUGN,,"...NG UP MI... hidden rev., &lit.",S,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Corrupt Greek character broke a promise on the rebound (10),DEGENERATE ,,ETA + RENEGED rev.,T,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Sort of force outcast to the current zone's boundaries? (9),GHETTOIZE ,,"G + HETTO + I + Z...E, TO THE*, &lit.",U,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
cru_cryptics,Gain satisfaction from diplomat providing justice for five (5),ENJOY,,ENVOY with J for V,V,,Settling Accounts,,cru-cryptics/Cryptic235.pdf,1,2021-10-23 23:58:00
